"release_time","input_tokens","output_tokens"
131.726876974106,206,217
132.126857995987,1003,373
132.395704030991,376,88
132.782338142395,401,125
133.081149101257,1023,427
133.392371177673,197,217
133.436189174652,91,16
134.233070135117,77,187
134.371659040451,4083,67
134.469437122345,1056,396
134.855967998505,1033,397
134.880889177322,1118,378
134.931698083878,1269,152
135.046141147614,1035,401
135.126747131348,1256,414
135.128899097443,1211,450
135.152903079987,396,89
135.400719165802,4078,46
135.413563013077,91,16
135.639163970947,1066,421
135.729149103165,91,24
135.82457113266,414,79
136.119902133942,378,52
136.226931095123,385,112
137.080557107925,1314,285
137.506240129471,401,88
138.154805183411,404,98
138.160473108292,91,16
138.439587116241,194,188
138.576003074646,4086,64
138.804052114487,1111,389
139.041757106781,1125,395
139.265873193741,1013,421
139.363233089447,847,89
140.214073181152,375,101
140.264568090439,1046,393
140.344586133957,395,58
140.462651968002,402,86
140.774394989014,1207,386
140.865087032318,997,415
141.053129196167,191,162
141.228514194489,978,430
141.274140119553,200,217
141.472495079041,1160,421
141.514379024506,1216,466
141.515892982483,912,427
141.516893148422,181,104
141.676625013351,206,162
142.264340162277,1010,396
142.431071043015,975,68
142.838282108307,1033,396
142.993180036545,163,157
143.183952093124,382,62
143.195051193237,1082,426
143.36702299118,1311,415
143.403694152832,200,217
143.406745195389,4093,91
143.417721033096,91,16
143.49521112442,181,85
143.564808130264,1004,412
144.042801141739,1315,144
144.299967050552,203,161
144.636018037796,960,403
145.386793136597,1032,387
145.448561191559,1144,396
145.459496974945,414,130
145.45978307724,399,86
145.78924202919,1113,98
145.845342159271,181,107
146.054748058319,161,193
146.252458095551,1001,398
146.419543027878,371,54
146.551895141602,1176,385
146.729681015015,1061,429
146.956423997879,886,95
147.040106058121,4101,58
147.171072006226,1137,428
147.225661039352,1245,389
147.255813121796,401,103
147.396901130676,405,83
147.608752012253,1319,169
147.995623111725,1052,429
148.189130067825,91,24
148.257883071899,1062,393
148.259979009628,2042,52
148.277629137039,4080,74
148.930373191833,328,18
148.979042053223,8,122
149.146041154861,1313,156
149.212459087372,2278,45
149.262497186661,1129,414
149.272552013397,405,110
149.417817115784,393,105
149.728896141052,167,187
149.746381998062,1040,456
149.977197170258,1113,399
150.011742115021,1042,411
150.032477140427,1180,414
150.063939094543,1069,426
150.187535047531,209,217
150.892544984818,1065,426
150.896561145782,128,173
150.906889200211,4082,50
150.907133102417,1037,415
151.155343055725,966,403
151.17042517662,380,99
151.325882196426,1087,396
151.380889177322,218,179
151.419676065445,387,75
151.516525030136,1000,498
152.42143702507,383,114
152.463441133499,1093,429
152.861951112747,1262,390
153.013292074203,1473,450
153.724493980408,1127,563
154.5586810112,1076,464
154.662273168564,1067,393
154.669624090195,402,73
154.778892040253,209,179
155.002164125443,1047,401
155.337960004807,200,193
155.597517967224,942,404
155.771198987961,1072,446
155.855494976044,1232,419
155.983620166779,373,91
156.139147996902,999,395
156.26468706131,1146,426
156.737223148346,1049,667
157.085519075394,1130,375
157.085654020309,1009,419
157.325257062912,1317,320
157.345482110977,921,114
157.470555067062,4084,34
157.521027088165,1157,429
157.601557016373,1093,425
157.637495040894,1035,405
157.63957118988,1009,395
157.6682741642,4091,40
157.721930027008,482,73
158.000126123428,4076,38
158.000773191452,401,104
158.065388202667,1046,429
158.425743103027,1230,389
158.44379401207,161,159
159.05300116539,26,238
159.073384046555,1108,399
159.211133003235,378,124
159.214063167572,1051,410
159.466809034348,2,93
159.633567094803,1001,373
159.691766023636,1059,429
159.847869157791,996,385
159.859111070633,1096,396
159.946753978729,417,98
160.264300107956,1139,396
160.398405075073,310,18
160.705187082291,1027,482
160.799947977066,1007,388
160.84493803978,161,150
161.053591012955,4099,55
161.220983028412,1025,394
161.279430150986,1044,413
161.401205062866,404,108
161.438862085342,1036,425
161.503614187241,1098,396
161.676822185516,405,105
161.702028036118,4074,50
161.715918064117,1269,451
161.816187143326,788,51
162.483709096909,918,397
162.664342164993,206,179
162.756703138351,4076,51
163.02951002121,1068,664
163.560630083084,1042,472
163.57587313652,417,92
163.757055997849,409,146
163.776854038239,1002,373
164.256174087524,942,104
164.472242116928,983,414
164.579158067703,4088,67
164.663102149963,1113,1000
164.739449977875,203,217
164.82334113121,435,83
164.85134601593,4086,37
165.013914108276,91,16
165.103613138199,1071,386
165.476427078247,167,217
165.477517127991,200,161
165.611585140228,181,92
165.791288137436,181,118
166.238291025162,4090,45
166.288424968719,1201,546
166.291017055511,1208,400
166.452805995941,373,57
166.749907970428,1005,407
166.838950157166,130,199
167.067526102066,1008,398
167.168962001801,91,16
167.446532011032,392,109
167.518383979797,394,94
167.696739196777,988,466
167.736436128616,1146,380
167.793823003769,4089,67
167.833899021149,1091,436
168.350159168243,379,87
168.483657121658,411,93
168.771615028381,4083,62
169.591490030289,396,65
169.654672145844,4088,107
169.880454063416,4073,29
169.909671068192,1060,396
169.942613124847,1046,429
169.95732998848,398,79
170.220350980759,3067,101
170.61187005043,381,99
170.81713104248,1117,428
170.902336120605,383,69
170.911844968796,403,106
171.152531147003,377,69
171.263676166534,403,101
171.604735136032,1145,396
171.78662109375,1209,403
171.930396080017,893,455
172.573325157166,1036,411
172.722949981689,203,217
172.996312141418,200,217
172.996680021286,299,18
173.231078147888,1142,436
173.475335121155,1318,234
174.185852050781,323,18
174.338631153107,1023,416
174.458928108215,1039,593
174.681349039078,1024,414
175.16707611084,206,165
175.205672025681,371,97
175.389351129532,373,66
175.43999505043,385,73
175.533046007156,203,167
175.882071971893,398,132
175.975567102432,1241,421
175.999246120453,1050,374
176.123897075653,4075,63
176.32546210289,401,86
176.418546199799,1436,386
176.606812000275,389,65
176.831056118011,386,49
176.861527204514,1069,426
176.894335985184,212,217
176.923777103424,991,373
176.999688148499,181,112
177.335033178329,4082,210
177.426378011703,395,142
178.195737123489,1007,451
178.220463037491,395,91
178.713623046875,324,18
178.746667146683,200,167
178.768849134445,397,103
178.76900100708,4074,67
178.832461118698,452,101
178.953435182571,391,93
179.03861618042,1061,429
179.161059141159,1007,379
179.356312036514,398,99
179.374755144119,913,398
179.496716022491,999,412
179.548139095306,385,84
179.557507991791,4096,45
179.895251989365,1161,408
180.322272062302,396,113
180.624456167221,4080,35
180.743119001389,200,188
180.804383039474,1116,401
180.83362197876,1046,531
180.972406148911,1015,397
180.989935159683,396,95
181.071985006332,1320,201
181.075190067291,1040,396
181.099773168564,416,153
181.235325098038,384,61
181.642729997635,1288,418
181.725255012512,203,162
181.743895053864,400,82
181.901275157928,209,217
181.926791191101,402,134
181.959329128265,906,146
182.044392108917,1312,204
182.138767004013,4076,92
182.52437710762,1042,373
182.584691047668,128,205
182.925449132919,1067,398
182.998118162155,1170,398
183.362202167511,1129,396
183.77641415596,4075,52
183.867361068726,401,144
183.997838973999,1032,401
184.098927974701,407,122
184.147984981537,1102,425
184.327615976334,1088,407
184.541002988815,385,107
184.585381031036,967,398
184.671373128891,395,83
184.817900180817,1160,392
184.988202095032,1019,413
185.078634977341,4082,31
185.55064201355,181,172
185.682041168213,91,24
185.761975049973,409,125
185.782036066055,383,58
185.851519107819,1363,363
185.857923030853,1034,550
185.865409135818,200,174
185.921607017517,4083,46
186.335667133331,4119,36
186.496873140335,998,373
186.621283054352,203,217
186.890739202499,1317,268
186.933822154999,1001,399
187.054164171219,167,168
187.181692123413,1093,429
187.216070175171,3053,69
187.277343988419,373,27
187.308712005615,4080,61
187.61478805542,209,194
187.832271099091,1314,161
187.860165119171,91,16
188.098882198334,2584,150
188.103514194489,1072,446
188.364494085312,370,69
188.3703520298,379,88
188.394754171371,1129,136
188.447756052017,372,90
188.610852003098,1297,368
188.619275093079,1012,420
188.620943069458,377,53
188.810412168503,1191,411
188.887181043625,4078,62
189.623389005661,393,101
189.80056810379,1208,413
190.150917053223,379,62
190.509150981903,4132,75
190.855051040649,394,70
190.893843173981,425,96
191.02912902832,313,18
191.058526039124,134,202
191.120220184326,181,418
191.706029176712,1027,405
191.850345134735,1035,431
191.957732200623,391,93
192.135357141495,395,118
192.841127157211,371,58
193.183366060257,1098,396
193.274626016617,1296,398
193.361685991287,124,159
193.520462036133,394,104
193.60292506218,1230,399
193.861690044403,2786,99
194.012643098831,380,74
194.195225000381,91,16
194.87144112587,1298,402
194.891237020493,4077,40
195.057820081711,1101,405
195.246245145798,998,518
195.398766040802,378,52
195.407394170761,1033,394
195.443632125854,4085,53
195.488361120224,4126,113
195.518164157867,395,90
195.890573978424,4075,58
196.425513029099,1120,415
196.521171092987,420,104
196.78215098381,1138,396
197.201970100403,406,89
197.309226989746,1314,152
197.464430093765,4089,68
197.819912195206,1057,445
198.084933042526,4095,50
198.63743019104,1074,403
198.798941135406,1133,432
198.819406032562,1110,451
198.82248210907,1005,111
198.823577165604,853,106
199.095765113831,1198,396
199.159192085266,372,61
199.578449010849,4084,66
200.015643119812,381,91
200.179306030273,1112,404
200.325239181519,956,75
200.337077140808,431,99
200.678166151047,957,414
200.77347612381,400,85
200.872100114822,2436,83
201.152137994766,4075,28
201.362087011337,394,93
202.080057144165,1216,456
202.145452022552,1398,44
202.380956172943,218,179
202.438944101334,4100,48
202.486898183823,391,93
202.607016086578,383,83
202.703921079636,22,147
203.035479068756,1247,398
203.082228183746,1318,139
203.22044801712,203,193
203.402532100677,1135,410
203.523461103439,1009,393
203.547729969025,1249,413
203.751065015793,391,94
203.7763671875,163,158
203.900093078613,404,71
204.114910125732,871,103
204.319808006287,4091,87
204.64172911644,978,401
204.939110040665,372,28
205.177340984344,372,67
